https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264219611/processed_ATL03_20190914155851_12000405_006_02.h5,ATL03_20190914155851_12000405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,384.07,8993MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264219766/processed_ATL03_20190901040436_09940403_006_02.h5,ATL03_20190901040436_09940403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,107.65,5400MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264219831/processed_ATL03_20190930024041_00490503_006_02.h5,ATL03_20190930024041_00490503_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,19.82,4258MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264219865/processed_ATL03_20190904170648_10480405_006_02.h5,ATL03_20190904170648_10480405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,731.6,13511MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264220007/processed_ATL03_20190907030457_10850403_006_02.h5,ATL03_20190907030457_10850403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,328.87,8276MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264220216/processed_ATL03_20190910160711_11390405_006_02.h5,ATL03_20190910160711_11390405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,573.58,11457MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264220531/processed_ATL03_20190915153312_12150405_006_02.h5,ATL03_20190915153312_12150405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,506.78,10589MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264220536/processed_ATL03_20190912165009_11700405_006_02.h5,ATL03_20190912165009_11700405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,360.49,8687MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264221285/processed_ATL03_20190926024902_13750403_006_02.h5,ATL03_20190926024902_13750403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,10.43,4136MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264221953/processed_ATL03_20190919152452_12760405_006_02.h5,ATL03_20190919152452_12760405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,582.45,11572MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264221961/processed_ATL03_20190920145914_12910405_006_02.h5,ATL03_20190920145914_12910405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,5.71,4075MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264222380/processed_ATL03_20190910032217_11310403_006_02.h5,ATL03_20190910032217_11310403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,115.95,5508MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264222468/processed_ATL03_20190917161611_12460405_006_02.h5,ATL03_20190917161611_12460405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,504.64,10561MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264222952/processed_ATL03_20190927022322_00030503_006_02.h5,ATL03_20190927022322_00030503_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,2.48,4033MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264223036/processed_ATL03_20190920021420_12830403_006_02.h5,ATL03_20190920021420_12830403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,304.03,7953MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264223255/processed_ATL03_20190918155032_12610405_006_02.h5,ATL03_20190918155032_12610405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,355.42,8621MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264223274/processed_ATL03_20190924020602_13440403_006_02.h5,ATL03_20190924020602_13440403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,4.2,4055MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264223411/processed_ATL03_20190901164929_10020405_006_02.h5,ATL03_20190901164929_10020405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,394.98,9135MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264223529/processed_ATL03_20190930152534_00570505_006_02.h5,ATL03_20190930152534_00570505_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,169.5,6204MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264223854/processed_ATL03_20190903173228_10330405_006_02.h5,ATL03_20190903173228_10330405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,10.07,4131MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264224375/processed_ATL03_20190914031358_11920403_006_02.h5,ATL03_20190914031358_11920403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,136.78,5779MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264224579/processed_ATL03_20190906161530_10780405_006_02.h5,ATL03_20190906161530_10780405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,566.64,11367MB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264225043/processed_ATL03_20190903031317_10240403_006_02.h5,ATL03_20190903031317_10240403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,319.94,8160MB
